id,external_id,client,category,revenue,status,region,date,is_synthetic
1,,Momentum Inc,groceries,222.55,Shipped,,2024-01-01,True
2,,CloudOps,home-decoration,783.74,Completed,,2024-01-04,True
3,,Infinity Group,beauty,526.0,Pending,,2024-01-07,True
4,,Beta Commerce,groceries,559.11,Processing,,2024-01-10,True
5,,Apex Innovations,beauty,230.03,Processing,,2024-01-13,True
6,,Pioneer Tech,beauty,2155.65,Pending,,2024-01-16,True
7,,Vertex Solutions,kitchen-accessories,4066.21,Completed,,2024-01-19,True
8,,Visionary Labs,home-decoration,3520.88,Shipped,,2024-01-22,True
9,,SmartLabs,home-decoration,1155.04,Shipped,,2024-01-25,True
10,,EduPlus,groceries,1961.64,Shipped,,2024-01-28,True
11,,Eclipse Systems,kitchen-accessories,3058.26,Completed,,2024-01-31,True
12,,Summit Enterprises,mens-watches,2727.52,Pending,,2024-02-03,True
13,,NovaBank,beauty,1536.57,Shipped,,2024-02-06,True
14,,Vertex Solutions,home-decoration,3552.4,Completed,,2024-02-09,True
15,,Infinity Group,home-decoration,3888.03,Completed,,2024-02-12,True
16,,Eclipse Systems,home-decoration,4345.77,Pending,,2024-02-15,True
17,,SmartLabs,mens-watches,3214.85,Shipped,,2024-02-18,True
18,,Delta Systems,kitchen-accessories,1840.83,Shipped,,2024-02-21,True
19,,Pioneer Tech,groceries,3084.74,Processing,,2024-02-24,True
20,,Zenith Corp,home-decoration,900.67,Pending,,2024-02-27,True
21,,SmartLabs,beauty,1176.11,Shipped,,2024-03-01,True
22,,Nexus Group,groceries,1222.34,Completed,,2024-03-04,True
23,,Quantum Solutions,kitchen-accessories,2065.71,Completed,,2024-03-07,True
24,,Prime Retail,beauty,4394.2,Shipped,,2024-03-10,True
25,,Prime Retail,mens-watches,2038.6,Pending,,2024-03-13,True
26,,VidaCare,kitchen-accessories,784.19,Shipped,,2024-03-16,True
27,,Summit Enterprises,beauty,2199.33,Pending,,2024-03-19,True
28,,NextGen,home-decoration,4986.9,Processing,,2024-03-22,True
29,,Apex Innovations,mens-watches,545.46,Completed,,2024-03-25,True
30,,Eclipse Systems,groceries,848.92,Processing,,2024-03-28,True
31,,Quantum Solutions,mens-watches,3022.4,Pending,,2024-03-31,True
32,,Bright Future,beauty,4980.99,Shipped,,2024-04-03,True
33,,Zenith Corp,groceries,3433.39,Completed,,2024-04-06,True
34,,Infinity Group,beauty,3779.3,Shipped,,2024-04-09,True
35,,EduPlus,kitchen-accessories,2230.35,Pending,,2024-04-12,True
36,,Alfa Tech,kitchen-accessories,4862.25,Processing,,2024-04-15,True
37,,Apex Innovations,groceries,4365.54,Shipped,,2024-04-18,True
38,,Nexus Group,beauty,3083.95,Processing,,2024-04-21,True
39,,NextGen,home-decoration,2742.96,Completed,,2024-04-24,True
